簡体字,カンタイジ
享受,キョウジュ
総評,ソウヒョウ
副鼻腔,フクビクウ
容疑者,ヨウギシャ
微生物,ビセイブツ
戦略,センリャク
兵力,ヘイリョク
宿命,シュクメイ
すす払い,ススハライ
戦死者,センシシャ
けんか腰,ケンカゴシ
ひざ頭,ヒザガシラ
参着,サンチャク
才力,サイリョク
著述,チョジュツ
強行,キョウコウ
贈与税,ゾウヨゼイ
同業,ドウギョウ
出典,シュッテン
才色,サイショク
修学,シュウガク
自由律,ジユウリツ
多項式,タコウシキ
入院,ニュウイン
下手投げ,シタテナゲ
生乾き,ナマガワキ
迫力,ハクリョク
ボブスレー,ボブスレー
お召し替え,オメシカエ
表口,オモテグチ
繁体字,ハンタイジ
迷信家,メイシンカ
恩知らず,オンシラズ
入り口,ハイリグチ
寸詰まり,スンヅマリ
最少,サイショウ
肩たたき,カタタタキ
冗談,ジョウダン
室料,シツリョウ
重宝,チョウホウ
磁気テープ,ジキテープ
競泳,キョウエイ
尾てい骨,ビテイコツ
大人数,オオニンズ
重態,ジュウタイ
流れ雲,ナガレグモ
エンブレム,エンブレム
卒中,ソッチュウ
港町,ミナトマチ
原状,ゲンジョウ
合掌,ガッショウ
プログラム,プログラム
応酬,オウシュウ
弱年,ジャクネン
好局,コウキョク
オルゴール,オルゴール
執行部,シッコウブ
追求,ツイキュウ
不活発,フカッパツ
出来具合,デキグアイ
サイン会,サインカイ
ダイオード,ダイオード
長短,チョウタン
聞き納め,キキオサメ
雪煙,ユキケムリ
噴出,フンシュツ
千両,センリョウ
境遇,キョウグウ
麦畑,ムギバタケ
引き伸ばし,ヒキノバシ
お母さん,オカアサン
弱冠,ジャッカン
上手投げ,ウワテナゲ
静粛,セイシュク
短母音,タンボイン
商会,ショウカイ
本会議,ホンカイギ
菩提樹,ボダイジュ
勝算,ショウサン
社中,シャチュウ
両輪,リョウリン
削岩機,サクガンキ
掛けうどん,カケウドン
入り浸り,イリビタリ
いじめっ子,イジメッコ
同色,ドウショク
オムニバス,オムニバス
朝寝坊,アサネボウ
ペニシリン,ペニシリン
懲役,チョウエキ
無鉄砲,ムテッポウ
ミディアム,ミディアム
栄養価,エイヨウカ
売り言葉,ウリコトバ
半ズボン,ハンズボン
衣替え,コロモガエ
増長,ゾウチョウ
小官,ショウカン
トライアル,トライアル
正中,セイチュウ
当直,トウチョク
秀逸,シュウイツ
フレーバー,フレーバー
出車,シュッシャ
勤め口,ツトメグチ
都落ち,ミヤコオチ
幼妻,オサナヅマ
市民権,シミンケン
救荒,キュウコウ
痛ましさ,イタマシサ
コンクール,コンクール
剛球・豪球,ゴウキュウ
木版画,モクハンガ
在庫品,ザイコヒン
レインボー,レインボー
心太,トコロテン
臭み抜き,クサミヌキ
浸り切り,ヒタリキリ
一まとめ,ヒトマトメ
首根っこ,クビネッコ
洋弓,ヨウキュウ
粉砂糖,コナザトウ
天下り,アマクダリ
静聴,セイチョウ
前後ろ,マエウシロ
でくの坊,デクノボウ
半熟,ハンジュク
切り開き,キリヒラキ
表ざた,オモテザタ
求刑,キュウケイ
懐中,カイチュウ
称賛,ショウサン
親離れ,オヤバナレ
出校,シュッコウ
マーケット,マーケット
送り先,オクリサキ
退局,タイキョク
澄まし顔,スマシガオ
内陸部,ナイリクブ
不信心,フシンジン
四角形,シカクケイ
食間,ショッカン
紙一重,カミヒトエ
腹構え,ハラガマエ
調進,チョウシン
早生児,ソウセイジ
小用,ショウヨウ
巻きたばこ,マキタバコ
差し薬,サシグスリ
泣きぼくろ,ナキボクロ
大道具,オオドウグ
調法,チョウホウ
病毒,ビョウドク
短距離,タンキョリ
青光り,アオビカリ
繁殖,ハンショク
コンセント,コンセント
保菌者,ホキンシャ
不賛成,フサンセイ
チャンネル,チャンネル
天井,テンジョウ
後ろ幅,ウシロハバ
力ずく,チカラズク
用務員,ヨウムイン
着帯,チャクタイ
フェレット,フェレット
古生物,コセイブツ
奉仕品,ホウシヒン
不条理,フジョウリ
中東,チュウトウ
皮下組織,ヒカソシキ
創世記,ソウセイキ
上顎,ジョウガク
綿ぼこり,ワタボコリ
息遣い,イキヅカイ
幸運児,コウウンジ
週間,シュウカン
見えっ張り,ミエッパリ
評判,ヒョウバン
料亭,リョウテイ
ポータブル,ポータブル
アルマイト,アルマイト
湾入,ワンニュウ
入党,ニュウトウ
ファクター,ファクター
曹長,ソウチョウ
中国,チュウゴク
ぶどう狩り,ブドウガリ
無菌室,ムキンシツ
アドバイス,アドバイス
ワイヤレス,ワイヤレス
緑林,リョクリン
学食,ガクショク
色女,イロオンナ
代将,ダイショウ
繁盛,ハンジョウ
福笑い,フクワライ
行き詰まり,イキヅマリ
スクロース,スクロース
丸太小屋,マルタゴヤ
丁寧語,テイネイゴ
近着,キンチャク
二枚舌,ニマイジタ
住居,ジュウキョ
快勝,カイショウ
乱脈,ランミャク
収納,シュウノウ
最頻値,サイヒンチ
ブティック,ブティック
吹聴,フイチョウ
全国区,ゼンコック
重複,ジュウフク
四辺形,シヘンケイ
宝物,タカラモノ
反証,ハンショウ
仮定形,カテイケイ
年休,ネンキュウ
全音符,ゼンオンプ
推賞,スイショウ
不合格,フゴウカク
ばか騒ぎ,バカサワギ
奥座敷,オクザシキ
中だるみ,ナカダルミ
介入,カイニュウ
払い出し,ハライダシ
自主トレ,ジシュトレ
金縛り,カナシバリ
ちょい役,チョイヤク
年齢差,ネンレイサ
レオタード,レオタード
豊饒,ホウジョウ
枝分かれ,エダワカレ
